directory,label_directory,image,classes
archive/trafic_data/valid/images,archive/trafic_data/valid/labels,Pias--339-_jpg.rf.599dbfb4ce069efd925b103303b577b9.jpg,"[4, 4, 4, 5, 5, 11, 10, 11]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Dipto_487_jpg.rf.af5e51e63388542e53ff7ec17146018a.jpg,"[4, 17, 17, 17, 17, 4, 18]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Numan_-281-_jpg.rf.8bafb68a9ac5ce6cf41eac59d0c19614.jpg,"[18, 18, 18, 18, 4]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Dipto_24_jpg.rf.ca2d060dc954b55b4a0f0feb1c452451.jpg,"[5, 4]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Navid_704_jpg.rf.f786f4156b768bbca81f9d52a69f0328.jpg,"[17, 17, 11]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Navid_181_jpg.rf.72593c0694bacda1b786b7d9c9db9660.jpg,"[4, 18, 11]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Dipto_780_jpg.rf.07afcb8b5cbdffc82c8aa253d9583b91.jpg,"[5, 5, 5, 5, 9, 13, 13, 13, 10, 8]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Navid_656_JPG.rf.2c00788af0986a41da0272efe7d68552.jpg,"[5, 13, 15, 13, 13]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Numan_-417-_jpg.rf.a84df4c1cc9bc05073fc30fbdcae012c.jpg,"[16, 17, 17, 5, 17]"
archive/trafic_data/valid/images,archive/trafic_data/valid/labels,Pias--345-_jpg.rf.67bdefd4df36932e1e90e4f7ecd13f7e.jpg,"[5, 4, 4, 4, 17, 5, 5]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Pias--445-_jpg.rf.d48e095b2403a4f60b386124832e0157.jpg,[4]
archive/trafic_data/valid/images,archive/trafic_data/valid/labels,Pias--338-_jpg.rf.89a4ddbd3c8745161e1a8259268f14f7.jpg,"[4, 10, 5, 5, 11]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Dipto_585_jpg.rf.6a2ff052251858571292e0da8eb5b30e.jpg,[11]
archive/trafic_data/train/images,archive/trafic_data/train/labels,Navid_257_jpg.rf.12914b4ae1e841312317de85cfdd2d07.jpg,"[5, 5]"
archive/trafic_data/valid/images,archive/trafic_data/valid/labels,Pias--378-_jpg.rf.7814744bd54a23607eb4f9e679e6ec3c.jpg,"[18, 18, 18, 18, 18, 4]"
archive/trafic_data/train/images,archive/trafic_data/train/labels,Navid_711_jpg.rf.2075a48ce217c66e8985f39fce8e0cbf.jpg,[4]
archive/trafic_data/train/images,archive/trafic_data/train/labels,Pias--413-_jpg.rf.698455aa29feb6183e9fe82499de07bd.jpg,"[4, 4]"
